2018-05-29 16:47:16 [main] INFO  tlvparser.TlvParserTest - 0x81 보다 큼
2018-05-29 16:47:16 [main] INFO  tlvparser.TlvParserTest - 0x81 보다 큼
2018-05-29 16:47:16 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:47:16 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:47:16 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:47:16 [main] INFO  tlvparser.TlvParserTest - 0x81 보다 큼
2018-05-29 16:49:16 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:49:16 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:49:16 [main] INFO  tlvparser.TlvParserTest - 0x81 보다 큼
2018-05-29 16:49:16 [main] INFO  tlvparser.TlvParserTest - 0x81 보다 큼
2018-05-29 16:49:16 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:49:16 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:49:16 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:49:16 [main] INFO  tlvparser.TlvParserTest - 0x81 보다 큼
2018-05-29 16:49:43 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:49:43 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:49:43 [main] INFO  tlvparser.TlvParserTest - 0x81 보다 큼
2018-05-29 16:49:43 [main] INFO  tlvparser.TlvParserTest - 0x81 보다 큼
2018-05-29 16:49:43 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:49:43 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:49:43 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:49:43 [main] INFO  tlvparser.TlvParserTest - 0x81 보다 큼
2018-05-29 16:49:54 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:49:54 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:49:54 [main] INFO  tlvparser.TlvParserTest - 0x81 보다 큼
2018-05-29 16:49:54 [main] INFO  tlvparser.TlvParserTest - 0x81 보다 큼
2018-05-29 16:49:54 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:49:54 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:49:54 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:49:54 [main] INFO  tlvparser.TlvParserTest - 0x81 보다 큼
2018-05-29 16:50:29 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:50:29 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:50:29 [main] INFO  tlvparser.TlvParserTest - 0x81 보다 큼
2018-05-29 16:50:29 [main] INFO  tlvparser.TlvParserTest - 0x81 보다 큼
2018-05-29 16:50:29 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:50:29 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:50:29 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:50:29 [main] INFO  tlvparser.TlvParserTest - 0x81 보다 큼
2018-05-29 16:50:57 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:50:57 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:50:57 [main] INFO  tlvparser.TlvParserTest - 0x81 보다 큼
2018-05-29 16:50:57 [main] INFO  tlvparser.TlvParserTest - 0x81 보다 큼
2018-05-29 16:50:57 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:50:57 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:50:57 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:50:57 [main] INFO  tlvparser.TlvParserTest - 0x81 보다 큼
